tconst,genres,numvotes,averagerating,start_year,runtime_minutes,Adult,Sport,Sci-Fi,Fantasy,News,Western,Thriller,Family,Game-Show,Mystery,Music,Reality-TV,Animation,Drama,Adventure,Romance,History,Horror,War,Short,Biography,Documentary,Crime,Musical,Comedy,Action,release_date,movie,production_budget,domestic_gross,worldwide_gross,year,month,roi
tt2321661,"['Comedy', 'Romance']",10,5.0,2012,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2018-04-13,truth or dare,3500000.0,"$41,411,015",95127344.0,2018,4,2617.9241142857145
tt2762738,"['Horror', 'Thriller']",554,4.8,2013,84.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2018-04-13,truth or dare,3500000.0,"$41,411,015",95127344.0,2018,4,2617.9241142857145
tt5944422,"['Drama', 'Romance']",12,6.8,2016,90.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2018-04-13,truth or dare,3500000.0,"$41,411,015",95127344.0,2018,4,2617.9241142857145
tt6772950,"['Horror', 'Thriller']",33621,5.2,2018,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2018-04-13,truth or dare,3500000.0,"$41,411,015",95127344.0,2018,4,2617.9241142857145
tt2126355,"['Action', 'Adventure', 'Drama']",192750,6.1,2015,114.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,2015-05-29,san andreas,110000000.0,"$155,190,832",456258539.0,2015,5,314.78049
tt2126357,"['Comedy', 'Drama', 'Romance']",13109,5.8,2018,103.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,2018-12-21,second act,15700000.0,"$39,282,227",63288854.0,2018,12,303.11371974522297
tt2139721,['Documentary'],10,7.7,2014,71.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2014-12-31,the hadza: last of the first,650000.0,$0,0.0,2014,12,-100.0
tt2139881,"['Comedy', 'Romance']",12814,7.2,2019,125.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2019-05-03,long shot,40000000.0,"$30,202,860",43711031.0,2019,5,9.2775775
tt2140037,"['Action', 'Drama', 'Western']",19051,5.9,2015,98.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2016-01-29,jane got a gun,25000000.0,"$1,513,793",3771345.0,2016,1,-84.91462
tt2140373,"['Biography', 'Comedy', 'Drama']",140678,7.5,2013,125.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,2013-12-13,saving mr. banks,35000000.0,"$83,299,761",114962525.0,2013,12,228.46435714285715
tt2140379,"['Action', 'Mystery', 'Sci-Fi']",80743,6.5,2015,117.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2015-07-10,self/less,26000000.0,"$12,279,691",33667319.0,2015,7,29.48968846153846
tt2140479,"['Action', 'Crime', 'Drama']",233022,7.3,2016,128.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,2016-10-14,the accountant,40000000.0,"$86,260,045",152962083.0,2016,10,282.4052075
tt2140619,"['Comedy', 'Romance']",60510,6.4,2014,86.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2014-09-26,two night stand,1600000.0,"$15,600",868081.0,2014,9,-45.7449375
tt2141739,['Documentary'],328,7.2,2014,83.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2014-11-21,food chains,913000.0,$0,176.0,2014,11,-99.98072289156626
tt2145676,"['Action', 'Crime', 'Drama']",19,6.4,2012,78.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,2013-08-07,midnight cabaret,300000.0,$0,0.0,2013,8,-100.0
tt2147225,"['Action', 'Crime', 'Drama']",489,5.4,2012,95.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,2015-01-09,black november,7500000.0,$0,32572.0,2015,1,-99.56570666666667
tt2149137,['Horror'],679,2.2,2012,83.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2012-03-20,snow white: a deadly summer,1000000.0,$0,0.0,2012,3,-100.0
tt2159988,"['Crime', 'Thriller']",126,6.8,2015,89.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2015-09-30,the walk,35000000.0,"$10,161,183",61492104.0,2015,9,75.69172571428572
